sku,group_skus.0
OP8004-GY-TAG,variant-259
OP8004-NB-TAG,variant-259
OP8004-SD-TAG,variant-259
OP8004-TK-TAG,variant-259
OP8004-TQ-TAG,variant-259
OP8004-WH-TAG,variant-259
OP8004-WW-TAG,variant-259
OP8005-BK-TAG,variant-264
OP8005-DB-TAG,variant-264
OP8005-DG-TAG,variant-264
OP8005-GY-TAG,variant-264
OP8005-NB-TAG,variant-264
OP8005-SD-TAG,variant-264
OP8005-TK-TAG,variant-264
OP8005-TQ-TAG,variant-264
OP8005-WH-TAG,variant-264
OP8005-WW-TAG,variant-264
OP8006-BK-TAG,variant-269
OP8006-DB-TAG,variant-269
OP8006-DG-TAG,variant-269
OP8006-GY-TAG,variant-269
OP8006-NB-TAG,variant-269
OP8006-SD-TAG,variant-269
OP8006-TK-TAG,variant-269
OP8006-TQ-TAG,variant-269
OP8006-WH-TAG,variant-269
OP8006-WW-TAG,variant-269
OP8010-BK-TAG,variant-274
OP8010-CG-TAG,variant-274
OP8010-NB-TAG,variant-274
OP8010-TK-TAG,variant-274
OP8010-TP-TAG,variant-274
OP8010-WG-TAG,variant-274
OP8010-WH-TAG,variant-274
OP8011-BK-TAG,variant-279
OP8011-CG-TAG,variant-279
OP8011-NB-TAG,variant-279
OP8011-TK-TAG,variant-279
OP8011-TP-TAG,variant-279
OP8011-WG-TAG,variant-279
OP8011-WH-TAG,variant-279
OP8012-BK-TAG,variant-284
OP8012-CG-TAG,variant-284
OP8012-NB-TAG,variant-284
OP8012-TK-TAG,variant-284
OP8012-TP-TAG,variant-284
OP8012-WG-TAG,variant-284
OP8012-WH-TAG,variant-284
1101010-TAG,variant-289
1101010-BG-TAG,variant-289
1101010-NB-TAG,variant-289
1101010-OR-TAG,variant-289
1101010-WH-TAG,variant-289
1101011-TAG,variant-294
1101061-TAG,variant-294
1101111-TAG,variant-294
1101111-NB-TAG,variant-294
1101111-BG-TAG,variant-294
1101242-TAG,variant-294
1101242-BG-TAG,variant-294
1101242-NB-TAG,variant-294
1101242-OR-TAG,variant-294
1101242-WH-TAG,variant-294
1101252-TAG,variant-299
1101252-BG-TAG,variant-299
1101252-NB-TAG,variant-299
1101252-OR-TAG,variant-299
1101252-WH-TAG,variant-299
P140-01-TAG,variant-304
P140-02-TAG,variant-304
P140-03-TAG,variant-304
P140-4PC-BK-BG-TAG,variant-304
P140-4PC-BK-GY-TAG,variant-304
P140-4PC-BK-NB-TAG,variant-304
P140-4PC-CF-BG-TAG,variant-304
P140-4PC-GY-BG-TAG,variant-304
P140-4PC-GY-GY-TAG,variant-304
P140-04-TAG,variant-309
P140-3PC-GY-GY-TAG,variant-309
P140-05-TAG,variant-309
P140-3PC-CF-BG-TAG,variant-309
P140-06-TAG,variant-309
P140-3PC-BK-BG-TAG,variant-309
P140-3PC-BK-NB-TAG,variant-309
P150-01-TAG,variant-314
P150-02-TAG,variant-314
P151-01-TAG,variant-319
P151-02-TAG,variant-319
P153-01-TAG,variant-329
P153-02-TAG,variant-329
OP101-3PC-BG-TAG,variant-334
OP101-3PC-GY-TAG,variant-334
OP101-3PC-NB-TAG,variant-334
OP101-3PC-WH-TAG,variant-334
OP101-4PC-BG-TAG,variant-339
OP101-4PC-GY-TAG,variant-339
OP101-4PC-NB-TAG,variant-339
OP101-4PC-WH-TAG,variant-339
OP111-4PC-BR-WH-TAG,variant-344
OP111-4PC-BK-GY-TAG,variant-344
OP111-4PC-GY-NB-TAG,variant-344
OP113-BRGY-TAG,variant-349
OP113-BRNB-TAG,variant-349
OP113-BRTQ-TAG,variant-349
OP113-BRWH-TAG,variant-349
OP114-BRGY-TAG,variant-354
OP114-BRNB-TAG,variant-354
OP114-BRTQ-TAG,variant-354
OP114-BRWH-TAG,variant-354
OP115-BRGY-TAG,variant-359
OP115-BRNB-TAG,variant-359
OP115-BRTQ-TAG,variant-359
OP115-BRWH-TAG,variant-359
P140-3PC-GY-BG-TAG,variant-364
P140-3PC-BK-GY-TAG,variant-364
OP116-BKBG-TAG,variant-369
OP118-BRGY-TAG,variant-369
OP119-CHOR-TAG,variant-369
OP119-CHNB-TAG,variant-369
OP119-CHGY-TAG,variant-369
OP119-CHBG-TAG,variant-369
OP118-BRWH-TAG,variant-369
OP118-BROR-TAG,variant-369
OP118-BRNB-TAG,variant-369
OP118-BRBG-TAG,variant-369
OP116-BKGY-TAG,variant-369
OP117-GYWH-TAG,variant-369
OP117-GYOR-TAG,variant-369
OP117-GYNB-TAG,variant-369
OP117-GYGY-TAG,variant-369
OP117-GYBG-TAG,variant-369
OP116-BKWH-TAG,variant-369
OP116-BKOR-TAG,variant-369
OP116-BKNB-TAG,variant-369
OP119-CHWH-TAG,variant-369
PF1001-BK-TAG,variant-381
PF1001-DB-TAG,variant-381
PF1001-DG-TAG,variant-381
PF1001-GY-TAG,variant-381
PF1001-LM-TAG,variant-381
PF1001-NB-TAG,variant-381
PF1001-OR-TAG,variant-381
PF1001-PB-TAG,variant-381
PF1001-RD-TAG,variant-381
PF1001-SD-TAG,variant-381
PF1001-TK-TAG,variant-381
PF1001-TQ-TAG,variant-381
PF1001-WH-TAG,variant-381
PF1001-WW-TAG,variant-381
9814101-TAG,variant-384
OP112-A-GYIV-TAG,variant-384
9815102-TAG,variant-389
9816272-TAG,variant-389
OP6001-LM-2-TAG,variant-406
OP6001-WH-2-TAG,variant-406
OP6001-GY-2-TAG,variant-406
OP6001-BK-2-TAG,variant-406
OP6001-RD-2-TAG,variant-406
OP6001-WW-2-TAG,variant-406
OP6001-PB-2-TAG,variant-406
OP6001-DKBR-2-TAG,variant-406
OP6001-DKGR-2-TAG,variant-406
OP6001-TQ-2-TAG,variant-406
OP6001-NB-2-TAG,variant-406
OP6001-OR-2-TAG,variant-406
OP6011-TP-TAG,variant-411
OP6011-TK-TAG,variant-411
OP6011-WG-TAG,variant-411
OP6011-BK-TAG,variant-411
OP6011-WH-TAG,variant-411
OP6011-CG-TAG,variant-411
OP6011-NB-TAG,variant-411
OP4001-BG-TAG,variant-416
OP4001-GY-TAG,variant-416
OP4001-NB-TAG,variant-416
OP4001-TQ-TAG,variant-416
OP4001-WH-TAG,variant-416
OP4002-BR-TAG,variant-421
OP4002-GY-TAG,variant-421
OP4003-BRBG-TAG,variant-426
OP4003-BRGY-TAG,variant-426
OP4003-BRNB-TAG,variant-426
OP4003-BRTQ-TAG,variant-426
OP4003-BRWH-TAG,variant-426
OP4003-GYBG-TAG,variant-426
OP4003-GYGY-TAG,variant-426
OP4003-GYNB-TAG,variant-426
OP4003-GYTQ-TAG,variant-426
OP4003-GYWH-TAG,variant-426
OP4004-BK-TAG,variant-431
OP4004-DB-TAG,variant-431
OP4004-DG-TAG,variant-431
OP4004-GY-TAG,variant-431
OP4004-LM-TAG,variant-431
OP4004-NB-TAG,variant-431
OP4004-OR-TAG,variant-431
OP4004-PB-TAG,variant-431
OP4004-RD-TAG,variant-431
OP4004-SD-TAG,variant-431
OP4004-TK-TAG,variant-431
OP4004-TQ-TAG,variant-431
OP4004-WH-TAG,variant-431
OP4004-WW-TAG,variant-431
OP4004-BK-2-TAG,variant-436
OP4004-DB-2-TAG,variant-436
OP4004-DG-2-TAG,variant-436
OP4004-GY-2-TAG,variant-436
OP4004-LM-2-TAG,variant-436
OP4004-NB-2-TAG,variant-436
OP4004-OR-2-TAG,variant-436
OP4004-PB-2-TAG,variant-436
OP4004-RD-2-TAG,variant-436
OP4004-SD-2-TAG,variant-436
OP4004-TK-2-TAG,variant-436
OP4004-TQ-2-TAG,variant-436
OP4004-WH-2-TAG,variant-436
OP4004-WW-2-TAG,variant-436
OP4004-BK-3-TAG,variant-441
OP4004-DB-3-TAG,variant-441
OP4004-DG-3-TAG,variant-441
OP4004-GY-3-TAG,variant-441
OP4004-LM-3-TAG,variant-441
OP4004-NB-3-TAG,variant-441
OP4004-OR-3-TAG,variant-441
OP4004-PB-3-TAG,variant-441
OP4004-RD-3-TAG,variant-441
OP4004-SD-3-TAG,variant-441
OP4004-TK-3-TAG,variant-441
OP4004-TQ-3-TAG,variant-441
OP4004-WH-3-TAG,variant-441
OP4004-WW-3-TAG,variant-441
OP4004-ST-BK-TAG,variant-446
OP4004-ST-DB-TAG,variant-446
OP4004-ST-DG-TAG,variant-446
OP4004-ST-GY-TAG,variant-446
OP4004-ST-LM-TAG,variant-446
OP4004-ST-NB-TAG,variant-446
OP4004-ST-OR-TAG,variant-446
OP4004-ST-PB-TAG,variant-446
OP4004-ST-RD-TAG,variant-446
OP4004-ST-SD-TAG,variant-446
OP4004-ST-TK-TAG,variant-446
OP4004-ST-TQ-TAG,variant-446
OP4004-ST-WH-TAG,variant-446
OP4004-ST-WW-TAG,variant-446
