sku,fields.weight.value,fields.package_height,fields.package_width,fields.package_length,fields.height.value,fields.width.value,fields.length.value,fields.package_weight,fields.abn_size,fields.target_color,fields.target_sku,fields.frame_color,fields.color,fields.size
OP6023-8-WW-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,Brown,WWT209967,Brown,Weathered Wood,
OP6024-WW-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,Brown,WWT209981,Brown,Weathered Wood,
OP6024-TQ-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,Blue,WWT209979,Blue,Turquoise,
OP6024-NB-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,Blue,WWT209973,Blue,Navy Blue,
OP6024-BK-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,Black,WWT209968,Black,Black,
OP6024-WH-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,White,WWT209980,White,White,
OP6024-GY-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,Gray,WWT209971,Gray,Gray,
OP6024-DB-TAG,47.0,22.0,34.0,7.0,36.75,29.5,33.0,52.0,,Brown,WWT209969,Brown,Dark Brown,
OP2013-BK-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,Black,WWT209214,Black,Black,
OP2013-DB-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,Brown,WWT209215,Brown,Dark Brown,
OP2013-GY-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,Gray,WWT209217,Gray,Gray,
OP2013-NB-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,Blue,WWT209219,Blue,Navy Blue,
OP2013-TQ-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,Blue,WWT209225,Blue,Turquoise,
OP2013-WH-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,White,WWT209226,White,White,
OP2013-WW-TAG,40.5,24.0,37.0,5.0,34.5,28.25,24.25,46.0,,Brown,WWT209227,Brown,Weathered Wood,
OP2015-BK-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,Black,WWT209256,Black,Black,
OP2015-DB-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,Brown,WWT209257,Brown,Dark Brown,
OP2015-GY-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,Gray,WWT209259,Gray,Gray,
OP2015-NB-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,Blue,WWT209261,Blue,Navy Blue,
OP2015-TQ-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,Blue,WWT209267,Blue,Turquoise,
OP2015-WH-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,White,WWT209268,White,White,
OP2015-WW-TAG,81.0,24.0,37.0,5.0,34.5,28.25,24.25,92.0,,Brown,WWT209269,Brown,Weathered Wood,
OP2016-BK-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,Black,WWT209270,Black,Black,
OP2016-DB-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,Brown,WWT209271,Brown,Dark Brown,
